mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,1,0,-0.307825365,-1.389418543,-0.889669368,0.042498736,1.000663131,-1.105627412,-0.726600347,-2.187001699,0.165649281,0.550951868,-1.910706413,-0.830128908,0.107164138,0.03045156,1.580480717,-0.161493981,2.123777389,0.142309257,1.082515259,-0.329101807,0.004300673,-0.080682585,-0.536713061,2.481724914,1.064571633,0.291062969,0.113980005,-0.765355221,-0.001444101,-0.219688014,0.544921394,0.114433901
1,1,6,-0.254334438,-1.407245339,-0.895974389,0.056890689,0.974799205,-1.18459154,-0.696113362,-2.162210592,0.127325353,0.548638661,-1.867666333,-0.854719216,0.024090976,0.016890474,1.663606651,-0.169911964,2.137400279,0.0310196,1.047730791,-0.310769065,0.033258646,-0.069021834,-0.551004234,2.42877825,1.085959561,0.374195284,0.106730834,-0.766348897,-0.013482379,-0.186396,0.599787442,0.132686887
1,1,12,-0.259317419,-1.403922299,-0.860096344,0.060257376,1.001127624,-1.146448451,-0.665578522,-2.14367234,0.134842696,0.505342215,-1.836644175,-0.939626274,0.063252169,0.084530093,1.750632735,-0.219717131,2.18121207,-0.026370862,1.002488184,-0.366177358,0.019459614,-0.089105136,-0.590127922,2.349397282,1.096702162,0.454013559,0.114798984,-0.790859324,-0.069398724,-0.150179776,0.579125949,0.160059344
1,1,18,-0.169401306,-1.429002485,-0.788235662,0.071437468,0.971098494,-1.145866014,-0.599188005,-2.170680346,0.093284633,0.513469889,-1.809141229,-0.951967768,-0.031944127,0.081417069,1.8033198,-0.25175093,2.186168318,-0.107722874,0.963147055,-0.340316997,-0.005832298,-0.120440799,-0.650998196,2.300086671,1.128755003,0.536317988,0.083534392,-0.827592232,-0.035652934,-0.064457386,0.589172267,0.178982544
1,2,0,-0.223045395,-1.382669677,-0.773165912,0.053907231,0.978567134,-1.129229613,-0.550985908,-2.182067562,0.12437543,0.477588224,-1.773783345,-0.922033834,-0.016258022,0.0913811,1.843391294,-0.314975978,2.242400604,-0.124984306,0.892880321,-0.335805374,-0.03749193,-0.107089937,-0.656077616,2.26848121,1.140098097,0.619049497,0.042227702,-0.896254132,-0.070782803,-0.059612641,0.546539933,0.235426206
1,2,6,-0.218756987,-1.369438448,-0.715401328,0.059017861,0.912652588,-1.193227966,-0.553544908,-2.187527553,0.111078645,0.484939472,-1.756790814,-0.983037101,-0.045090013,0.091379505,1.887160123,-0.366044895,2.282658331,-0.160064812,0.885330683,-0.2729845,-0.061688038,-0.128684769,-0.628643943,2.187286125,1.146929452,0.668592926,0.014339278,-0.864217703,-0.091636651,0.014064234,0.552882333,0.298468876
1,2,12,-0.16717271,-1.334453896,-0.76527628,0.029896164,0.943402954,-1.151298121,-0.543174178,-2.18030635,0.130152488,0.470525372,-1.737638161,-1.018971048,0.015508217,0.131346824,1.932878906,-0.442833929,2.300931526,-0.151771651,0.795661005,-0.240447698,-0.076157211,-0.137457167,-0.671773807,2.122921157,1.183964999,0.720794891,-0.03150159,-0.873712407,-0.147549885,0.014650114,0.510097029,0.368764442
1,2,18,-0.109969307,-1.341161363,-0.716006591,0.029887948,0.913893228,-1.176354362,-0.433308038,-2.148731867,0.089199702,0.496978833,-1.726443009,-1.096007086,-0.022199185,0.092168245,2.003460895,-0.47953751,2.281220704,-0.144648833,0.799423642,-0.182313697,-0.150476519,-0.196858545,-0.651971976,2.089835094,1.203174385,0.745966677,-0.094314768,-0.884341707,-0.134481087,0.061294751,0.490060429,0.392560917
1,3,0,-0.113251464,-1.303578738,-0.700781292,0.036380096,0.909155821,-1.192279823,-0.4171499,-2.141743469,0.079603071,0.455935732,-1.679150903,-1.114122003,0.025409768,0.120106639,2.062744005,-0.554564714,2.269396644,-0.172974041,0.708522763,-0.112683204,-0.171189741,-0.206503728,-0.664529238,2.060727209,1.228055772,0.822057249,-0.106918827,-0.928136383,-0.152033317,0.065170425,0.450845252,0.437480338
1,3,6,-0.084858054,-1.331229315,-0.730818553,-0.006244844,0.847263806,-1.225678408,-0.338943975,-2.069619985,0.132087475,0.484782573,-1.633822538,-1.144914571,0.037483255,0.136936079,2.10964511,-0.612947586,2.29160223,-0.206069809,0.652816274,-0.043692831,-0.203352873,-0.260226274,-0.670236988,2.049212427,1.226677629,0.835699567,-0.106957413,-0.940190407,-0.161307309,0.103660879,0.403557379,0.459687053
