tstep,mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,1,1,0,1.49035726E+26,1.35590743E+26,1.41802986E+26,1.53390507E+26,1.65301182E+26,1.39118471E+26,1.43830051E+26,1.25676209E+26,1.54921357E+26,1.59710946E+26,1.29110759E+26,1.42543116E+26,1.54194345E+26,1.53240752E+26,1.72508732E+26,1.50854731E+26,1.79262302E+26,1.54631224E+26,1.66318663E+26,1.48771245E+26,1.52915678E+26,1.51859275E+26,1.46190487E+26,1.83711848E+26,1.66095610E+26,1.56480340E+26,1.54279071E+26,1.43348300E+26,1.52844266E+26,1.50131337E+26,1.59635983E+26,1.54284713E+26
2,1,1,6,1.49189112E+26,1.34760408E+26,1.41158975E+26,1.53084101E+26,1.64571746E+26,1.37546925E+26,1.43660240E+26,1.25312001E+26,1.53965593E+26,1.59238338E+26,1.28998229E+26,1.41675284E+26,1.52673612E+26,1.52583498E+26,1.73192186E+26,1.50245661E+26,1.79121723E+26,1.52760324E+26,1.65484486E+26,1.48482832E+26,1.52788346E+26,1.51508303E+26,1.45476283E+26,1.82768324E+26,1.65962920E+26,1.57055175E+26,1.53707852E+26,1.42781240E+26,1.52203381E+26,1.50039363E+26,1.59878466E+26,1.54032692E+26
3,1,1,12,1.49753961E+26,1.35285767E+26,1.42159912E+26,1.53793495E+26,1.65686413E+26,1.38540324E+26,1.44618683E+26,1.25935076E+26,1.54736278E+26,1.59419518E+26,1.29816016E+26,1.41154626E+26,1.53831350E+26,1.54100310E+26,1.75160412E+26,1.50254522E+26,1.80603080E+26,1.52698484E+26,1.65703611E+26,1.48403215E+26,1.53277797E+26,1.51905502E+26,1.45572404E+26,1.82728998E+26,1.66894508E+26,1.58770706E+26,1.54482919E+26,1.43035091E+26,1.52154597E+26,1.51133498E+26,1.60352169E+26,1.55055025E+26
4,1,1,18,1.50818230E+26,1.34689745E+26,1.42894404E+26,1.53902036E+26,1.65421690E+26,1.38315148E+26,1.45315053E+26,1.25192976E+26,1.54181776E+26,1.59562012E+26,1.29822282E+26,1.40797906E+26,1.52578292E+26,1.54029819E+26,1.76077816E+26,1.49763790E+26,1.80979976E+26,1.51607988E+26,1.65319876E+26,1.48629751E+26,1.52912640E+26,1.51445142E+26,1.44651653E+26,1.82438637E+26,1.67440393E+26,1.59854569E+26,1.54056930E+26,1.42390465E+26,1.52530803E+26,1.52161978E+26,1.60531339E+26,1.55279090E+26
5,1,2,0,1.49983281E+26,1.35120043E+26,1.42932228E+26,1.53533062E+26,1.65384694E+26,1.38368457E+26,1.45779973E+26,1.24873931E+26,1.54436273E+26,1.58963503E+26,1.30107027E+26,1.41024145E+26,1.52633734E+26,1.54013375E+26,1.76469393E+26,1.48804980E+26,1.81583610E+26,1.51240158E+26,1.64286421E+26,1.48538004E+26,1.52361573E+26,1.51469515E+26,1.44432982E+26,1.81917893E+26,1.67455082E+26,1.60776653E+26,1.53383362E+26,1.41354571E+26,1.51934874E+26,1.52078045E+26,1.59847277E+26,1.55859643E+26
6,1,2,6,1.49581524E+26,1.34693532E+26,1.43155734E+26,1.53175490E+26,1.64220169E+26,1.36973416E+26,1.45249899E+26,1.24108757E+26,1.53849074E+26,1.58686240E+26,1.29681807E+26,1.39692952E+26,1.51828499E+26,1.53594198E+26,1.76828750E+26,1.47675852E+26,1.81945869E+26,1.50340908E+26,1.63866667E+26,1.48879906E+26,1.51613747E+26,1.50746916E+26,1.44278237E+26,1.80711904E+26,1.67251339E+26,1.61062424E+26,1.52597420E+26,1.41230286E+26,1.51226259E+26,1.52593861E+26,1.59565312E+26,1.56273606E+26
7,1,2,12,1.50912683E+26,1.35806897E+26,1.43172625E+26,1.53462952E+26,1.65284643E+26,1.38177116E+26,1.46046848E+26,1.24860721E+26,1.54760369E+26,1.59165134E+26,1.30589290E+26,1.39889561E+26,1.53276757E+26,1.54775825E+26,1.78089452E+26,1.47345351E+26,1.82852421E+26,1.51111988E+26,1.63372715E+26,1.49964432E+26,1.52090515E+26,1.51297232E+26,1.44382641E+26,1.80548788E+26,1.68397757E+26,1.62403872E+26,1.52668403E+26,1.41769353E+26,1.51166622E+26,1.53265653E+26,1.59677231E+26,1.57848246E+26
8,1,2,18,1.51716037E+26,1.35596728E+26,1.43781530E+26,1.53547110E+26,1.65120897E+26,1.37754454E+26,1.47482744E+26,1.25023658E+26,1.54323646E+26,1.59662470E+26,1.30552450E+26,1.38806396E+26,1.52865162E+26,1.54362511E+26,1.79385998E+26,1.46877487E+26,1.83022552E+26,1.51261997E+26,1.63622211E+26,1.50768872E+26,1.51185699E+26,1.50578445E+26,1.44619899E+26,1.80516847E+26,1.68908294E+26,1.62922329E+26,1.51920993E+26,1.41577612E+26,1.51395118E+26,1.53958302E+26,1.59571891E+26,1.58295385E+26
9,1,3,0,1.51765149E+26,1.36241568E+26,1.44102914E+26,1.53716560E+26,1.65098811E+26,1.37693066E+26,1.47801876E+26,1.25310694E+26,1.54280250E+26,1.59188169E+26,1.31343566E+26,1.38712357E+26,1.53573491E+26,1.54808474E+26,1.80143262E+26,1.46009789E+26,1.82838310E+26,1.50986281E+26,1.62482268E+26,1.51772560E+26,1.51009550E+26,1.50549005E+26,1.44575693E+26,1.80116960E+26,1.69257726E+26,1.63962921E+26,1.51847736E+26,1.41137877E+26,1.51259378E+26,1.54092027E+26,1.59121782E+26,1.58947484E+26
10,1,3,6,1.51759379E+26,1.35652640E+26,1.43411692E+26,1.52775290E+26,1.63805102E+26,1.37016665E+26,1.48475850E+26,1.26110487E+26,1.54562945E+26,1.59120791E+26,1.31742257E+26,1.38060368E+26,1.53340384E+26,1.54625603E+26,1.80118736E+26,1.44934927E+26,1.82470151E+26,1.50192971E+26,1.61292275E+26,1.52291353E+26,1.50228081E+26,1.49493112E+26,1.44194582E+26,1.79337770E+26,1.68708231E+26,1.63655658E+26,1.51473791E+26,1.40705999E+26,1.50771432E+26,1.54195591E+26,1.58071125E+26,1.58796484E+26
